team,xg
Manchester Utd,1.7
Arsenal,1.69
Liverpool,1.62
Bournemouth,1.52
Chelsea,1.52
Manchester City,1.47
Nott'ham Forest,1.44
Crystal Palace,1.41
Newcastle Utd,1.39
Everton,1.37
Brighton,1.34
Tottenham,1.31
Aston Villa,1.28
Leeds United,1.28
Fulham,1.23
West Ham United,1.2
Wolverhampton Wanderers,1.11
Sunderland,1.1
Brentford,1.02
Burnley,0.91
