team,xg,xga
Manchester Utd,1.7,1.15
Arsenal,1.69,0.91
Liverpool,1.62,1.18
Bournemouth,1.52,1.27
Chelsea,1.52,1.25
Manchester City,1.47,1.2
Nott'ham Forest,1.44,1.47
Crystal Palace,1.41,1.42
Newcastle Utd,1.39,1.12
Everton,1.37,1.42
Brighton,1.34,1.16
Tottenham,1.31,1.32
Aston Villa,1.28,1.25
Leeds United,1.28,1.3
Fulham,1.23,1.28
West Ham United,1.2,1.63
Wolverhampton Wanderers,1.11,1.5
Sunderland,1.1,1.49
Brentford,1.02,1.52
Burnley,0.91,2.06
